elevator,reason,out_of_service,first_missed,estimated_return,difference (min),duration (min)
EL113,Maintenance,Wed Mar 21 2018 06:40:00 GMT-0400 (EDT),Wed Mar 21 2018 10:22:08 GMT-0400 (EDT),Wed Mar 21 2018 11:00:00 GMT-0400 (EDT),-37.85405,222.14595
EL600,Under Investigation,Wed Mar 21 2018 02:45:00 GMT-0400 (EDT),Wed Mar 21 2018 05:36:07 GMT-0400 (EDT),Wed Mar 21 2018 11:00:00 GMT-0400 (EDT),-323.8805333333333,171.11946666666665
EL131,Maintenance,Wed Mar 21 2018 04:00:00 GMT-0400 (EDT),Wed Mar 21 2018 11:25:07 GMT-0400 (EDT),Wed Mar 21 2018 12:00:00 GMT-0400 (EDT),-34.87976666666667,445.1202333333333
EL328,Under Investigation,Wed Mar 21 2018 03:47:00 GMT-0400 (EDT),Wed Mar 21 2018 06:05:08 GMT-0400 (EDT),Wed Mar 21 2018 12:00:00 GMT-0400 (EDT),-354.85614999999996,138.14385
EL730,Repair,Wed Mar 21 2018 07:00:00 GMT-0400 (EDT),Wed Mar 21 2018 09:01:08 GMT-0400 (EDT),Wed Mar 21 2018 14:00:00 GMT-0400 (EDT),-298.8654333333333,121.13456666666666
EL107,Under Investigation,Wed Mar 21 2018 08:36:00 GMT-0400 (EDT),Wed Mar 21 2018 11:36:09 GMT-0400 (EDT),Wed Mar 21 2018 15:00:00 GMT-0400 (EDT),-203.84721666666667,180.15278333333333
EL730,Under Investigation,Wed Mar 21 2018 09:10:00 GMT-0400 (EDT),Wed Mar 21 2018 10:01:08 GMT-0400 (EDT),Wed Mar 21 2018 17:00:00 GMT-0400 (EDT),-418.8604833333333,51.139516666666665
EL128,Under Investigation,Wed Mar 21 2018 08:30:00 GMT-0400 (EDT),Wed Mar 21 2018 13:11:08 GMT-0400 (EDT),Wed Mar 21 2018 18:00:00 GMT-0400 (EDT),-288.85275,281.14725
EL230,Under Investigation,Wed Mar 21 2018 08:50:00 GMT-0400 (EDT),Wed Mar 21 2018 10:24:07 GMT-0400 (EDT),Wed Mar 21 2018 19:00:00 GMT-0400 (EDT),-515.8671166666667,94.13288333333334
EL113,Under Investigation,Wed Mar 21 2018 11:35:00 GMT-0400 (EDT),Wed Mar 21 2018 13:08:08 GMT-0400 (EDT),Wed Mar 21 2018 20:00:00 GMT-0400 (EDT),-411.85606666666666,93.14393333333334
